City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Torbay,47.6666,-52.7314,54.57,97,90,24.16,CA,2021-11-30 20:05:28
1,College,64.8569,-147.8028,-4.02,76,75,0.0,US,2021-11-30 20:05:20
2,Vera Cruz,-12.6333,-41.0333,75.97,81,97,3.83,BR,2021-11-30 20:08:08
3,Puerto Suarez,-18.95,-57.8,90.16,43,20,8.05,BO,2021-11-30 20:08:09
4,Hobart,-42.8794,147.3294,61.05,74,0,5.01,AU,2021-11-30 20:08:09
5,Codrington,-38.2667,141.9667,63.84,56,35,10.49,AU,2021-11-30 20:08:10
6,Goderich,43.7501,-81.7165,38.91,89,90,20.98,CA,2021-11-30 20:08:10
7,Longhua,23.6137,114.1919,46.15,71,30,3.69,CN,2021-11-30 20:08:10
8,Busselton,-33.65,115.3333,45.09,83,50,5.21,AU,2021-11-30 20:04:08
9,New Norfolk,-42.7826,147.0587,60.71,61,50,2.98,AU,2021-11-30 20:08:11
10,Paredon,16.0333,-93.8667,89.22,46,6,12.35,MX,2021-11-30 20:08:11
11,Nikolskoye,59.7035,30.7861,21.4,94,100,9.93,RU,2021-11-30 20:08:11
12,Tuktoyaktuk,69.4541,-133.0374,-26.41,100,72,5.1,CA,2021-11-30 20:08:12
13,Punta Arenas,-53.15,-70.9167,64.51,36,0,25.32,CL,2021-11-30 20:06:13
14,Mataura,-46.1927,168.8643,55.47,81,100,5.7,NZ,2021-11-30 20:08:12
15,Vaini,-21.2,-175.2,80.76,83,40,11.5,TO,2021-11-30 20:08:12
16,Broome,42.2506,-75.833,35.38,77,90,4.0,US,2021-11-30 20:08:13
17,Pevek,69.7008,170.3133,-12.08,100,91,2.17,RU,2021-11-30 20:08:13
18,Albany,42.6001,-73.9662,36.81,72,100,3.04,US,2021-11-30 20:05:54
19,Egvekinot,66.3167,-179.1667,-17.07,85,10,6.91,RU,2021-11-30 20:08:14
20,Hasaki,35.7333,140.8333,63.0,79,100,37.13,JP,2021-11-30 20:08:14
