City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,-15.92,100,69,3.94,broken clouds
1,Butaritari,KI,3.0707,172.7902,83.07,74,85,13.96,overcast clouds
2,Felanitx,ES,39.4696,3.1483,51.01,80,96,7.07,overcast clouds
3,San Luis,AR,-33.295,-66.3356,76.24,49,56,9.75,broken clouds
4,Biak,ID,-0.9131,122.8766,80.17,79,100,0.43,overcast clouds
5,Busselton,AU,-33.65,115.3333,64.04,53,0,18.63,clear sky
6,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,20,5.75,few clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,69.13,82,55,8.61,broken clouds
8,Kapaa,US,22.0752,-159.319,71.92,82,90,6.91,heavy intensity rain
9,Thompson,CA,55.7435,-97.8558,-20.04,76,20,6.91,few clouds
10,Benito Juarez,MX,19.385,-99.165,72.84,20,64,4,broken clouds
11,Pangody,RU,65.85,74.4859,-2.78,97,92,12.5,overcast clouds
12,Vaini,TO,-21.2,-175.2,82.56,83,40,10.36,scattered clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,67.08,78,0,5.99,clear sky
14,Puro,PH,12.4841,123.3827,79.75,72,79,9.26,broken clouds
15,Waipawa,NZ,-41.4122,175.5153,56.44,98,100,2.1,overcast clouds
16,Lososina,RU,48.9975,140.3106,19.17,72,1,9.35,clear sky
17,Benicarlo,ES,40.4165,0.4271,63.25,59,98,23.2,overcast clouds
18,Sao Filipe,CV,14.8961,-24.4956,77.38,69,22,6.08,few clouds
19,Bethel,US,41.3712,-73.414,58.05,87,90,3,overcast clouds
20,San Patricio,US,28.017,-97.5169,68.09,51,100,17.56,overcast clouds
21,Taksimo,RU,56.3444,114.8794,0.97,96,99,1.19,overcast clouds
22,Zile,TR,40.3031,35.8864,43.92,65,66,3.74,broken clouds
23,Saint Anthony,US,45.0205,-93.218,7.56,62,1,4,clear sky
24,Namibe,AO,-15.1961,12.1522,71.85,66,0,5.08,clear sky
25,Qaanaaq,GL,77.484,-69.3632,19.6,78,100,7,overcast clouds
26,Pacific Grove,US,36.6177,-121.9166,58.8,85,75,4,broken clouds
